"cell_id","UMAP_1","UMAP_2","label1","label2","label3"
"32061",-8.72038591586497,-3.99367314890402,"Neuron","CHO/PEP","CHO/PEP"
"32062",-9.05414808474924,-3.69437486246603,"Neuron","CHO/PEP","CHO/PEP"
"32063",-8.97573984347727,-3.66564447000998,"Neuron","CHO/PEP","CHO/PEP"
"32064",3.82667409695242,16.4333216516636,"Mix","Mix","Mix"
"32065",-7.01658952914622,-3.88248831347006,"Neuron","CHO/PEP","CHO/PEP"
"32066",-8.68227232180979,-4.01808578089254,"Neuron","CHO/PEP","CHO/PEP"
"32067",-9.72347677432444,11.0306822626255,"Non_Neuron","VAS","Peri/VEC"
"32068",-8.93296278201487,-3.90884167269247,"Neuron","CHO/PEP","CHO/PEP"
"32069",-8.95566881381419,-3.82638079241293,"Neuron","CHO/PEP","CHO/PEP"
"32070",-8.84175718509104,-3.80300313547628,"Neuron","CHO/PEP","CHO/PEP"
"32071",1.15169238365743,13.3770663110874,"Mix","Mix","Mix"
"32072",4.04494439877126,15.2075039713047,"Non_Neuron","OLG","OLG2"
"32073",-8.9085391827717,-3.85909062937277,"Neuron","CHO/PEP","CHO/PEP"
"32074",4.78890001095388,16.4920565454624,"Non_Neuron","OLG","OLG2"
"32075",1.66532003201101,16.635691341605,"Non_Neuron","OLG","OLG2"
"32076",3.11754118717764,15.572931942191,"Non_Neuron","OLG","OLG2"
"32077",0.676782958875635,13.146620449271,"Mix","Mix","Mix"
"32078",-11.2988694974079,10.5765854684971,"Non_Neuron","VAS","VLMC"
"32079",-12.4734748669758,10.2306629984043,"Non_Neuron","VAS","VLMC"
"32080",1.72042333401296,14.3461825220249,"Mix","Mix","Mix"
"32081",-8.88708151065256,-3.88468534067648,"Neuron","CHO/PEP","CHO/PEP"
"32082",-10.8478950329914,9.56230419560892,"Mix","Mix","Mix"
"32083",-11.6249488659992,10.8021790353916,"Non_Neuron","VAS","VLMC"
"32084",-10.6662658520832,11.0575901834629,"Non_Neuron","VAS","VLMC"
"32085",-12.3622697659626,9.09943645879251,"Non_Neuron","VAS","VLMC"
"32086",-11.5432246991291,10.4872137872837,"Non_Neuron","VAS","Peri/VEC"
"32087",-11.4512504407063,10.8047167627476,"Non_Neuron","VAS","Peri/VEC"
"32088",-11.4418910809651,10.6918017236851,"Non_Neuron","VAS","Peri/VEC"
"32089",-2.17017436705973,-0.2889238031246,"Non_Neuron","AC","AC3"
"32090",0.19413548029516,5.2088801233433,"Non_Neuron","AC","AC3"
"32091",-0.881846315492651,1.44851535245401,"Non_Neuron","AC","AC3"
"32092",-0.0588237115040037,3.81549757405741,"Non_Neuron","AC","AC3"
"32093",-2.4183869429722,-0.168928656134778,"Non_Neuron","AC","AC3"
"32094",-8.91159570895579,-3.82679444864767,"Neuron","CHO/PEP","CHO/PEP"
"32095",4.81468879498098,16.2563959924839,"Non_Neuron","OLG","OLG2"
"32096",-8.98122728549387,-3.74559527948874,"Neuron","CHO/PEP","CHO/PEP"
"32097",-8.81876314364817,-3.95583540514486,"Neuron","CHO/PEP","CHO/PEP"
"32098",1.02967786110494,13.4107519952915,"Mix","Mix","Mix"
"32099",1.1326612166271,14.2838160364292,"Non_Neuron","OLG","OLG2"
"32100",4.10296594418142,17.3902308313511,"Non_Neuron","OLG","OLG2"
"32101",-1.58189643107798,16.186114010062,"Non_Neuron","OLG","OLG2"
"32102",-12.0425037213459,10.3350483743809,"Non_Neuron","VAS","VLMC"
"32103",-10.5454524823323,11.0736319391392,"Non_Neuron","VAS","VLMC"
"32104",2.591984384428,15.0281636087559,"Non_Neuron","OLG","OLG2"
"32105",-11.6559022732868,10.5677906839512,"Non_Neuron","VAS","Peri/VEC"
"32106",-12.2338336774006,10.429938015189,"Non_Neuron","VAS","VLMC"
"32107",-12.045710928072,10.0759808389805,"Non_Neuron","VAS","VLMC"
"32108",-1.45104087077524,1.71720546170694,"Non_Neuron","AC","AC3"
"32109",-1.3773520060673,1.62242287084085,"Non_Neuron","AC","AC3"
"32110",-1.84390605174448,-1.49495947674292,"Non_Neuron","AC","AC3"
"32111",-10.4708389111653,7.79247253819925,"Non_Neuron","VAS","VLMC"
"32112",-1.63231027804758,2.3525659410618,"Non_Neuron","AC","AC3"
"32113",-0.6050421290889,0.118104395117587,"Neuron","TEPN","TEGLU Mix"
"32114",-2.59554422580149,-0.563702364791208,"Non_Neuron","AC","AC3"
